0.0.0.0/8	; Used for broadcast messages to the current ("this") network as specified by RFC 1700, page 4.
10.0.0.0/8	; Used for local communications within a private network as specified by RFC 1918.
100.64.0.0/10	; Used for communications between a service provider and its subscribers when using a Carrier-grade NAT, as specified by RFC 6598.
127.0.0.0/8	; Used for loopback addresses to the local host, as specified by RFC 990.
169.254.0.0/16	; Used for link-local addresses between two hosts on a single link when no IP address is otherwise specified, such as would have normally been retrieved from a DHCP server, as specified by RFC 3927.
172.16.0.0/12	; Used for local communications within a private network as specified by RFC 1918
192.0.0.0/24	; Used for the IANA IPv4 Special Purpose Address Registry as specified by RFC 5736
192.0.2.0/24	; Assigned as "TEST-NET" in RFC 5737 for use solely in documentation and example source code and should not be used publicly.
192.88.99.0/24	; Used by 6to4 anycast relays as specified by RFC 3068.
192.168.0.0/16	; Used for local communications within a private network as specified by RFC 1918.
198.18.0.0/15	; Used for testing of inter-network communications between two separate subnets as specified in RFC 2544.
198.51.100.0/24	; Assigned as "TEST-NET-2" in RFC 5737 for use solely in documentation and example source code and should not be used publicly.
203.0.113.0/24	; Assigned as "TEST-NET-3" in RFC 5737 for use solely in documentation and example source code and should not be used publicly.
224.0.0.0/4	; Reserved for multicast assignments as specified in RFC 5771.
; 233.252.0.0/24 is assigned as "MCAST-TEST-NET" for use solely in documentation and example source code.
240.0.0.0/4	; Reserved for future use, as specified by RFC 6890.
255.255.255.255/32	; Reserved for the "limited broadcast" destination address, as specified by RFC 6890.
